iter	Passed	Remaining
548	44249	8015718
549	44320	8013975
550	44399	8013509
551	44477	8013050
552	44555	8012498
553	44629	8011228
554	44709	8010969
555	44783	8009797
556	44858	8008693
557	44933	8007703
558	45011	8007100
559	45083	8005587
560	45157	8004312
561	45238	8004321
562	45313	8003286
563	45390	8002625
564	45465	8001586
565	45537	7999997
566	45611	7998820
567	45685	7997556
568	45755	7995701
569	45827	7994098
570	45904	7993492
571	45988	7993968
572	46065	7993241
573	46138	7991993
574	46211	7990601
575	46290	7990229
576	46369	7989899
577	46437	7987695
578	46510	7986400
579	46603	7988506
580	46677	7987234
581	46753	7986442
582	46824	7984871
583	46902	7984384
584	46984	7984551
585	47066	7984703
586	47135	7982803
587	47213	7982299
588	47287	7981133
589	47362	7980178
590	47440	7979736
591	47511	7978161
592	47607	7980587
593	47682	7979641
594	47751	7977754
595	47824	7976443
596	47899	7975479
597	47971	7974100
598	48046	7973149
599	48120	7971999
600	48200	7971833
601	48279	7971607
602	48362	7971946
603	48435	7970679
604	48509	7969561
605	48584	7968583
606	48655	7967051
607	48722	7964925
608	48806	7965338
609	48893	7966355
610	48965	7965006
611	49047	7965259
612	49118	7963682
613	49194	7962884
614	49274	7962788
615	49351	7962178
616	49423	7960830
617	49497	7959823
618	49579	7959966
619	49660	7960170
620	49737	7959595
621	49824	7960528
622	49899	7959633
623	49969	7958016
624	50044	7957114
625	50117	7955906
626	50205	7957000
627	50278	7955846
628	50356	7955383
629	50435	7955247
630	50513	7954780
631	50590	7954303
632	50674	7954757
633	50744	7953179
634	50820	7952411
635	50901	7952541
636	50972	7950929
637	51048	7950344
638	51122	7949279
639	51195	7948162
640	51273	7947719
641	51351	7947373
642	51433	7947553
643	51512	7947355
644	51590	7946920
645	51665	7946043
646	51735	7944420
647	51806	7942970
648	51881	7942137
649	51975	7944327
650	52062	7945213
651	52134	7944018
652	52203	7942141
653	52278	7941440
654	52357	7941088
655	52440	7941527
656	52521	7941582
657	52596	7940747
658	52669	7939667
659	52747	7939324
660	52821	7938308
661	52896	7937437
662	52972	7936859
663	53051	7936689
664	53132	7936786
665	53211	7936471
666	53299	7937701
667	53373	7936645
668	53444	7935269
669	53519	7934391
670	53599	7934431
671	53678	7934204
672	53760	7934428
673	53831	7933020
674	53909	7932715
675	53992	7933121
676	54072	7933001
677	54141	7931308
678	54218	7930805
679	54295	7930401
680	54371	7929731
681	54451	7929590
682	54522	7928314
683	54605	7928640
684	54683	7928363
685	54766	7928652
686	54844	7928369
687	54915	7927053
688	54987	7925828
689	55072	7926486
690	55163	7928016
691	55233	7926421
692	55313	7926417
693	55390	7925963
694	55470	7925907
695	55542	7924729
696	55616	7923829
697	55696	7923757
698	55772	7923131
699	55851	7922876
700	55927	7922367
701	56007	7922208
702	56084	7921858
703	56155	7920428
704	56236	7920609
705	56309	7919587
706	56389	7919506
707	56472	7919812
708	56544	7918686
709	56646	7921803
710	56722	7921099
711	56795	7920089
712	56884	7921268
713	56962	7920954
714	57035	7919988
715	57109	7919124
716	57192	7919415
717	57284	7921058
718	57358	7920194
719	57435	7919770
720	57519	7920281
721	57595	7919578
722	57678	7919915
723	57748	7918595
724	57830	7918806
725	57903	7917758
726	57978	7917107
727	58055	7916660
728	58136	7916653
729	58208	7915611
730	58291	7915987
731	58366	7915250
732	58441	7914524
733	58517	7913886
734	58589	7912772
735	58663	7911893
736	58743	7911934
737	58818	7911117
738	58913	7913112
739	58992	7912972
740	59084	7914546
741	59162	7914244
742	59245	7914625
743	59326	7914619
744	59412	7915474
745	59502	7916678
746	59579	7916261
747	59657	7915893
748	59737	7915855
749	59814	7915435
750	59889	7914696
751	59959	7913422
752	60036	7912998
753	60123	7913807
754	60202	7913599
755	60278	7913115
756	60348	7911716
757	60419	7910438
758	60499	7910474
759	60571	7909353
760	60651	7909351
761	60745	7911088
762	60814	7909610
763	60896	7909874
764	60971	7909212
765	61050	7909026
766	61134	7909420
767	61210	7908968
768	61293	7909206
769	61366	7908355
770	61449	7908615
771	61524	7907970
772	61605	7907995
773	61686	7908183
774	61766	7908094
775	61835	7906649
776	61933	7908913
777	62011	7908606
778	62091	7908597
779	62172	7908701
780	62246	7907885
781	62332	7908584
782	62405	7907652
783	62489	7908135
784	62561	7907026
785	62645	7907507
786	62717	7906505
787	62787	7905201
788	62868	7905221
789	62959	7906581
790	63034	7905909
791	63120	7906648
792	63213	7908231
793	63292	7908052
794	63367	7907377
795	63446	7907223
796	63523	7906811
797	63601	7906490
798	63682	7906550
799	63748	7904826
800	63828	7904772
801	63915	7905596
802	63989	7904756
803	64068	7904711
804	64145	7904244
805	64219	7903406
806	64291	7902386
807	64360	7901098
808	64437	7900644
809	64528	7901950
810	64609	7901986
811	64687	7901768
812	64774	7902520
813	64852	7902236
814	64931	7902174
815	65008	7901777
816	65087	7901581
817	65166	7901373
818	65246	7901416
819	65339	7902882
820	65420	7902917
821	65504	7903438
822	65583	7903231
823	65656	7902355
824	65729	7901516
825	65806	7901076
826	65901	7902788
827	65987	7903535
828	66063	7903042
829	66136	7902097
830	66211	7901457
831	66289	7901210
832	66366	7900770
833	66447	7900882
834	66541	7902531
835	66623	7902732
836	66704	7902815
837	66778	7901999
838	66863	7902534
839	66938	7901976
840	67012	7901161
841	67084	7900217
842	67163	7900048
843	67243	7899996
844	67320	7899628
845	67412	7900929
846	67485	7900063
847	67561	7899593
848	67638	7899245
849	67724	7899868
850	67801	7899415
851	67883	7899641
852	67959	7899106
853	68035	7898626
854	68114	7898519
855	68188	7897736
856	68281	7899237
857	68364	7899493
858	68443	7899350
859	68521	7899077
860	68620	7901277
861	68696	7900758
862	68787	7902010
863	68870	7902289
864	68941	7901196
865	69011	7899941
866	69082	7898934
867	69162	7898905
868	69245	7899187
869	69330	7899725
870	69411	7899801
871	69491	7899720
872	69573	7899885
873	69645	7898995
874	69717	7897996
875	69794	7897650
876	69874	7897557
877	69967	7899024
878	70049	7899209
879	70123	7898465
880	70200	7898077
881	70278	7897764
882	70353	7897217
883	70423	7895991
884	70518	7897695
885	70595	7897294
886	70686	7898464
887	70756	7897277
888	70834	7897104
889	70914	7897043
890	70984	7895851
891	71059	7895216
892	71138	7895045
893	71214	7894594
894	71287	7893774
895	71363	7893362
896	71445	7893527
897	71530	7893991
898	71609	7893882
899	71694	7894312
900	71780	7894930
901	71857	7894561
902	71932	7894061
903	72004	7893080
904	72075	7892030
905	72150	7891509
906	72232	7891637
907	72312	7891594
908	72388	7891110
909	72467	7891016
910	72545	7890754
911	72622	7890368
912	72694	7889413
913	72776	7889599
914	72857	7889712
915	72940	7889977
916	73035	7891528
917	73114	7891445
918	73193	7891302
919	73270	7890929
920	73370	7892983
921	73466	7894735
922	73546	7894639
923	73624	7894443
924	73705	7894474
925	73784	7894324
926	73872	7895165
927	73944	7894235
928	74016	7893284
929	74098	7893494
930	74189	7894612
931	74267	7894390
932	74354	7895025
933	74448	7896469
934	74520	7895561
935	74602	7895752
936	74682	7895742
937	74758	7895231
938	74830	7894382
939	74910	7894268
940	74984	7893616
941	75060	7893129
942	75142	7893320
943	75216	7892585
944	75303	7893343
945	75380	7892984
946	75460	7892880
947	75563	7895271
948	75638	7894657
949	75730	7895947
950	75809	7895762
951	75879	7894675
952	75953	7893937
953	76043	7894953
954	76134	7896041
955	76210	7895644
956	76290	7895580
957	76367	7895225
958	76443	7894735
959	76517	7894051
960	76596	7893895
961	76672	7893407
962	76751	7893308
963	76827	7892861
964	76907	7892778
965	76981	7892140
966	77054	7891385
967	77153	7893225
968	77235	7893415
969	77308	7892623
970	77386	7892413
971	77460	7891745
972	77534	7891037
973	77617	7891356
974	77687	7890260
975	77765	7890028
976	77841	7889582
977	77920	7889409
978	77994	7888807
979	78065	7887848
980	78146	7887904
981	78227	7887879
982	78297	7886858
983	78368	7885948
984	78442	7885231
985	78517	7884759
986	78606	7885536
987	78685	7885410
988	78758	7884651
989	78834	7884249
990	78915	7884340
991	78993	7884105
992	79071	7883866
993	79148	7883508
994	79229	7883494
995	79303	7882889
996	79396	7884189
997	79468	7883292
998	79540	7882500
999	79619	7882319
1000	79698	7882164
1001	79774	7881801
1002	79865	7882754
