|                  object|        ra|      dec|
|                    char|    double|   double|
|                        |          |         |
|                    null|      null|     null|
 SDSS J142248.17-000800.1  215.70072  -0.13337 
 SDSS J141429.20-002229.0 213.621675  -0.37475 
 SDSS J141525.73-011352.6 213.857235  -1.23132 
 SDSS J141541.32-011107.4 213.922185  -1.18539 
 SDSS J141351.85-003750.9  213.46605  -0.63086 
 SDSS J141641.48+005908.3 214.172805   0.98565 
 SDSS J141700.72+000319.7  214.25301   0.05548 
 SDSS J141749.86+003039.3  214.45776   0.51097 
 SDSS J142056.68-000423.8 215.236215  -0.07329 
 SDSS J142227.60+000332.5   215.6151   0.05906 
 SDSS J142016.63+005718.9 215.069355    0.9553 
 SDSS J142320.75+001640.3 215.836485   0.27787 
 SDSS J142727.27-005841.1  216.86367  -0.97807 
 SDSS J142819.77-004018.0 217.082385  -0.67168 
 SDSS J142601.16-001447.8  216.50487  -0.24663 
 SDSS J142444.98-001929.9 216.187455  -0.32497 
 SDSS J142452.09+000820.7  216.21708   0.13909 
 SDSS J142403.34+002957.8  216.01395    0.4994 
 SDSS J142326.72+005717.6 215.861325    0.9549 
 SDSS J142624.41+004957.6  216.60174   0.83265 
 SDSS J143046.02+001451.6 217.691775   0.24763 
 SDSS J143650.91-004200.9 219.212175  -0.70028 
 SDSS J143415.35-005809.3 218.563965  -0.96924 
 SDSS J143136.30-005647.7 217.901265   -0.9466 
 SDSS J142721.27-003200.8  216.83862  -0.53355 
 SDSS J142804.53+010022.6 217.018905   1.00634 
 SDSS J143033.48+010628.9  217.63953   1.10805 
 SDSS J143043.04+001510.3 217.679355   0.25285 
 SDSS J143335.38+005426.4  218.39745   0.90737 
 SDSS J143357.20+003510.8 218.488365   0.58634 
 SDSS J143525.34+002003.6 218.855595   0.33433 
 SDSS J144040.58-011412.0   220.1691  -1.23669 
 SDSS J143826.10-010001.1 219.608775  -1.00029 
 SDSS J143906.07-003452.7  219.77535  -0.58131 
 SDSS J143743.83-001857.7 219.432645  -0.31605 
 SDSS J143743.20-001512.5  219.43002  -0.25349 
 SDSS J143728.04-002247.6  219.36687  -0.37991 
 SDSS J143649.97-004212.4  219.20823  -0.70347 
 SDSS J143623.88-001100.9  219.09954  -0.18358 
 SDSS J143521.76+010520.1  218.84067   1.08888 
 SDSS J143638.56+011058.8  219.16068     1.183 
 SDSS J143736.94+001013.8  219.40395   0.17047 
 SDSS J143918.99+003819.1  219.82917   0.63861 
 SDSS J143848.39+004056.6 219.701625    0.6824 
 SDSS J143946.48+005835.5 219.943665   0.97653 
 SDSS J144013.82+000039.0  220.05762   0.01084 
 SDSS J144154.13+003600.1  220.47555   0.60003 
 SDSS J144403.49+000000.0  221.01456     4e-05 
 SDSS J145019.19-010647.4 222.579945  -1.11319 
 SDSS J145058.70-005521.2   222.7446  -0.92258 
 SDSS J144933.59-002038.6 222.389985  -0.34409 
 SDSS J144724.04-002410.9  221.85018  -0.40305 
